Status,Source Unit,Destination Unit,Source Clock Domain,Destination Clock Domain,Local Source Clock,Local Destination Clock,Pair Classification,Violation,Scheme,Id,Domain Crossing,Number of Pair Bits
Passed,u_HARVESTER.tree_val[6],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,141,{clk2 clk1},2048
Passed,u_FIFO_syn_R.rptr[4],u_FIFO_syn_R.u_NDFF_BUS_r2w.genblk1[4].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,11,{clk2 clk3},1
Passed,u_HARVESTER.tree_val[5],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,142,{clk2 clk1},2048
Passed,u_FIFO_syn_AR.wptr[6],u_FIFO_syn_AR.u_NDFF_BUS_w2r.genblk1[6].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,12,{clk2 clk3},1
Passed,u_HARVESTER.tree_val[4],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,143,{clk2 clk1},2048
Passed,u_FIFO_syn_R.rptr[2],u_FIFO_syn_R.u_NDFF_BUS_r2w.genblk1[2].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,13,{clk2 clk3},1
Passed,u_HARVESTER.tree_val[3],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,144,{clk2 clk1},2048
Passed,u_HARVESTER.tree_val[1],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,145,{clk2 clk1},2048
Passed,u_HARVESTER.tree_val[0],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,146,{clk2 clk1},2048
Passed,u_FIFO_syn_AR.rptr[6],u_FIFO_syn_AR.u_NDFF_BUS_r2w.genblk1[6].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,16,{clk3 clk2},1
Passed,u_HARVESTER.tree_val[7],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,17,{clk2 clk1},2048
Passed,u_HARVESTER.hsk_bk_reg[1],u_FIFO_syn_AR.rdata[15:14],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,148,{clk2 clk3},2
Passed,u_FIFO_syn_AR.rptr[3],u_FIFO_syn_AR.u_NDFF_BUS_r2w.genblk1[3].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,18,{clk3 clk2},1
Passed,u_FIFO_syn_AR.rptr[1],u_FIFO_syn_AR.u_NDFF_BUS_r2w.genblk1[1].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,19,{clk3 clk2},1
Passed,u_FIFO_syn_AR.rptr[0],u_FIFO_syn_AR.u_NDFF_BUS_r2w.genblk1[0].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,20,{clk3 clk2},1
Passed,u_FIFO_syn_AR.wptr[5],u_FIFO_syn_AR.u_NDFF_BUS_w2r.genblk1[5].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,21,{clk2 clk3},1
Passed,u_FIFO_syn_output.rptr[5],u_FIFO_syn_output.u_NDFF_BUS_r2w.genblk1[5].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,22,{clk1 clk2},1
Passed,u_FIFO_syn_AR.wptr[3],u_FIFO_syn_AR.u_NDFF_BUS_w2r.genblk1[3].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,23,{clk2 clk3},1
Passed,u_FIFO_syn_AR.wptr[1],u_FIFO_syn_AR.u_NDFF_BUS_w2r.genblk1[1].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,24,{clk2 clk3},1
Passed,u_HARVESTER.c2_main_st,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,26,{clk2 clk1},96
Passed,u_FIFO_syn_AR.rptr[4],u_FIFO_syn_AR.u_NDFF_BUS_r2w.genblk1[4].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,28,{clk3 clk2},1
Passed,clk2,u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,29,{clk2 clk3},32
Passed,u_FIFO_syn_AR.wbin[5:0],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,30,{clk2 clk3},192
Passed,u_FIFO_syn_output.wbin[5:0],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,31,{clk2 clk1},192
Passed,u_DRAM_SYS.out_slice_st,u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,33,{clk3 clk2},32
Passed,u_HARVESTER.p1_dat_hold[31:0],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,34,{clk2 clk1},32
Passed,u_FIFO_syn_output.wfull,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,35,{clk2 clk1},32
Passed,u_HARVESTER.curr_op_md,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,36,{clk2 clk1},32
Passed,u_FIFO_syn_R.rptr[0],u_FIFO_syn_R.u_NDFF_BUS_r2w.genblk1[0].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,37,{clk2 clk3},1
Passed,u_FIFO_syn_R.wptr[3],u_FIFO_syn_R.u_NDFF_BUS_w2r.genblk1[3].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,38,{clk3 clk2},1
Passed,u_FIFO_syn_AR.wfull,u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,39,{clk2 clk3},32
Passed,u_HARVESTER.tree_ptr_idx,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,40,{clk2 clk1},128
Passed,u_HARVESTER.tree_st[0],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,41,{clk2 clk3},64
Passed,u_HARVESTER.sq_lvl_cnt,u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,42,{clk2 clk3},64
Passed,u_HARVESTER.tree_st[5],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,43,{clk2 clk3},64
Passed,u_HARVESTER.tree_st[3],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,44,{clk2 clk3},64
Passed,u_HARVESTER.tree_st[2],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,45,{clk2 clk3},64
Passed,u_HARVESTER.tree_st[1],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,46,{clk2 clk3},64
Passed,u_HARVESTER.hsk_rw_reg[1],u_FIFO_syn_AR.rdata[13:8],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,47,{clk2 clk3},6
Passed,u_HARVESTER.hsk_rw_reg[0],u_FIFO_syn_AR.rdata[13:8],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,48,{clk2 clk3},6
Passed,u_HARVESTER.hsk_rw_reg[3],u_FIFO_syn_AR.rdata[13:8],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,49,{clk2 clk3},6
Passed,u_HARVESTER.target_adr_reg,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,50,{clk2 clk3},16
Passed,u_HARVESTER.tree_ptr[7],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,51,{clk2 clk3},16
Passed,u_HARVESTER.tree_ptr[3],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,52,{clk2 clk3},16
Passed,u_HARVESTER.tree_ptr[2],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,53,{clk2 clk3},16
Passed,u_Handshake_syn.dack,u_Handshake_syn.u_NDFF_syn_ack.A1,clk2,clk1,clk2,clk1,Control,,u_Handshake_syn.din,54,{clk2 clk1},1
Passed,u_FIFO_syn_output.rptr[2],u_FIFO_syn_output.u_NDFF_BUS_r2w.genblk1[2].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,60,{clk1 clk2},1
Passed,u_HARVESTER.tree_ptr[5],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,61,{clk2 clk3},16
Passed,u_FIFO_syn_R.wptr[0],u_FIFO_syn_R.u_NDFF_BUS_w2r.genblk1[0].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,63,{clk3 clk2},1
Passed,u_Handshake_syn.sreq,u_Handshake_syn.u_NDFF_syn_req.A1,clk1,clk2,clk1,clk2,Control,,u_Handshake_syn.din,64,{clk1 clk2},1
Passed,u_HARVESTER.snoop_q_mem[0][31:16] u_HARVESTER.snoop_q_mem[0][63],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,65,{clk2 clk3},48
Passed,u_HARVESTER.tree_acc,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,66,{clk2 clk1},2048
Passed,u_FIFO_syn_R.rptr[1],u_FIFO_syn_R.u_NDFF_BUS_r2w.genblk1[1].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,67,{clk2 clk3},1
Passed,u_HARVESTER.sq_rptr,u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,68,{clk2 clk3},32
Passed,u_HARVESTER.p1_eof,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,69,{clk2 clk1},32
Passed,u_DRAM_SYS.d_dat_buf[31:0],u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,70,{clk3 clk2},32
Passed,u_HARVESTER.p1_vld,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,71,{clk2 clk1},32
Passed,u_HARVESTER.tree_ptr[1],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,75,{clk2 clk3},16
Passed,u_HARVESTER.ar_pend_limiter,u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,78,{clk2 clk3},160
Passed,clk2,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,84,{clk2 clk1},32
Passed,u_FIFO_syn_AR.rptr[2],u_FIFO_syn_AR.u_NDFF_BUS_r2w.genblk1[2].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,85,{clk3 clk2},1
Passed,u_HARVESTER.tree_ptr[6],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,86,{clk2 clk3},16
Passed,u_HARVESTER.g_st_phase,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,87,{clk2 clk1},64
Passed,u_FIFO_syn_output.rptr[1],u_FIFO_syn_output.u_NDFF_BUS_r2w.genblk1[1].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,89,{clk1 clk2},1
Passed,u_HARVESTER.tree_st[6],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,90,{clk2 clk3},64
Passed,u_FIFO_syn_output.rptr[6],u_FIFO_syn_output.u_NDFF_BUS_r2w.genblk1[6].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,91,{clk1 clk2},1
Passed,u_HARVESTER.hsk_bk_reg[2],u_FIFO_syn_AR.rdata[15:14],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,92,{clk2 clk3},2
Passed,u_FIFO_syn_output.rptr[4],u_FIFO_syn_output.u_NDFF_BUS_r2w.genblk1[4].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,93,{clk1 clk2},1
Passed,u_FIFO_syn_AR.wptr[4],u_FIFO_syn_AR.u_NDFF_BUS_w2r.genblk1[4].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,97,{clk2 clk3},1
Passed,u_DRAM_SYS.sram_hi_hold[63:32],u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,98,{clk3 clk2},32
Passed,u_FIFO_syn_R.wbin[5:0],u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,99,{clk3 clk2},192
Passed,u_HARVESTER.g_thr_var,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,100,{clk2 clk1},2752
Passed,u_HARVESTER.p1_is_num,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,101,{clk2 clk1},32
Passed,u_HARVESTER.snoop_q_mem[1][31:16] u_HARVESTER.snoop_q_mem[1][63],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,103,{clk2 clk3},48
Passed,u_FIFO_syn_output.wptr[0],u_FIFO_syn_output.u_NDFF_BUS_w2r.genblk1[0].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,106,{clk2 clk1},1
Passed,u_HARVESTER.p1_sub_diff,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,107,{clk2 clk1},1376
Passed,u_FIFO_syn_R.rptr[5],u_FIFO_syn_R.u_NDFF_BUS_r2w.genblk1[5].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,108,{clk2 clk3},1
Passed,u_FIFO_syn_R.wfull,u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,109,{clk3 clk2},32
Passed,u_HARVESTER.hsk_bk_reg[3],u_FIFO_syn_AR.rdata[15:14],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,110,{clk2 clk3},2
Passed,u_HARVESTER.tree_st[7],u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,111,{clk2 clk3},64
Passed,u_HARVESTER.hsk_rw_reg[2],u_FIFO_syn_AR.rdata[13:8],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,113,{clk2 clk3},6
Passed,u_FIFO_syn_output.rptr[3],u_FIFO_syn_output.u_NDFF_BUS_r2w.genblk1[3].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,114,{clk1 clk2},1
Passed,u_FIFO_syn_R.wptr[2],u_FIFO_syn_R.u_NDFF_BUS_w2r.genblk1[2].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,115,{clk3 clk2},1
Passed,u_FIFO_syn_R.wptr[6],u_FIFO_syn_R.u_NDFF_BUS_w2r.genblk1[6].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,116,{clk3 clk2},1
Passed,u_HARVESTER.tree_ptr[4],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,117,{clk2 clk3},16
Passed,u_FIFO_syn_output.wptr[4],u_FIFO_syn_output.u_NDFF_BUS_w2r.genblk1[4].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,118,{clk2 clk1},1
Passed,u_HARVESTER.g_sum,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,119,{clk2 clk1},1344
Passed,u_HARVESTER.snoop_q_mem[1][62:32],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,121,{clk2 clk1},992
Passed,u_HARVESTER.snoop_q_mem[0][62:32],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,122,{clk2 clk1},992
Passed,u_HARVESTER.sq_rptr,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,123,{clk2 clk1},32
Passed,clk3,u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,124,{clk3 clk2},32
Passed,u_FIFO_syn_output.wptr[1],u_FIFO_syn_output.u_NDFF_BUS_w2r.genblk1[1].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,125,{clk2 clk1},1
Passed,u_HARVESTER.c2_main_st,u_FIFO_syn_AR.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,126,{clk2 clk3},96
Passed,u_FIFO_syn_R.wptr[5],u_FIFO_syn_R.u_NDFF_BUS_w2r.genblk1[5].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,127,{clk3 clk2},1
Passed,u_FIFO_syn_R.rptr[6],u_FIFO_syn_R.u_NDFF_BUS_r2w.genblk1[6].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,128,{clk2 clk3},1
Passed,u_HARVESTER.tx_flit_buf[63:32],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,129,{clk2 clk1},32
Passed,u_FIFO_syn_R.rptr[3],u_FIFO_syn_R.u_NDFF_BUS_r2w.genblk1[3].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,130,{clk2 clk3},1
